path,title,source_url,evidence_url,rights_basis,obligations,decision,notes
docs/4-research/papers/by-topic/01-ferroelectric-materials/hzo_superlattice_stability_2025.pdf,hzo_superlattice_stability_2025,https://doi.org/10.1038/s41467-025-61758-2,https://www.nature.com/articles/s41467-025-61758-2,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/01-ferroelectric-materials/in2se3_silicon_compatible_2025.pdf,in2se3_silicon_compatible_2025,https://doi.org/10.1038/s41467-025-62822-7,https://www.nature.com/articles/s41467-025-62822-7,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/01-ferroelectric-materials/physical_reality_preisach_2018.pdf,Physical Reality of Preisach Model,https://doi.org/10.1038/s41467-018-06717-w,https://www.nature.com/articles/s41467-018-06717-w,Creative Commons Attribution 4.0 International License shown on Nature article page,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/01-ferroelectric-materials/sliding_ferroelectrics_review_2025.pdf,sliding_ferroelectrics_review_2025,https://doi.org/10.1038/s41699-025-00600-1,https://www.nature.com/articles/s41699-025-00600-1,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/01-ferroelectric-materials/transition_state_landau_ferroelectric_2024.pdf,Transition-State-Theory Landau Double Well Ferroelectrics,https://arxiv.org/pdf/2404.13138.pdf,https://arxiv.org/abs/2404.13138,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/02-training-algorithms/aimc_accuracy_post_training_2024.pdf,Improving AIMC Accuracy Post-Training,https://arxiv.org/pdf/2401.09859.pdf,https://arxiv.org/abs/2401.09859,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/03-simulation-tools/FerroX_arXiv_2210.15668.pdf,FerroX_arXiv_2210.15668,https://arxiv.org/pdf/2210.15668.pdf,https://arxiv.org/abs/2210.15668,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Duplicate file of arXiv:2210.15668; same licensed article as already kept rows.
docs/4-research/papers/by-topic/03-simulation-tools/IBM_AIHWKit_arXiv_2307.09357.pdf,IBM_AIHWKit_arXiv_2307.09357,https://arxiv.org/pdf/2307.09357.pdf,https://arxiv.org/abs/2307.09357,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Duplicate file of arXiv:2307.09357; same licensed article as already kept row.
docs/4-research/papers/by-topic/03-simulation-tools/compass_compiler_framework_2025.pdf,COMPASS: CIM Compiler Framework,https://arxiv.org/pdf/2501.06780.pdf,https://arxiv.org/abs/2501.06780,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/03-simulation-tools/ferrox_gpu_phasefield_2022.pdf,FerroX: GPU Phase-Field for Ferroelectrics,https://arxiv.org/pdf/2210.15668.pdf,https://arxiv.org/abs/2210.15668,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/03-simulation-tools/ferrox_gpu_phasefield_2023.pdf,FerroX: GPU Phase-Field Framework,https://arxiv.org/pdf/2210.15668.pdf,https://arxiv.org/abs/2210.15668,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/03-simulation-tools/ferrox_hzo_polycrystalline_2024.pdf,ferrox_hzo_polycrystalline_2024,https://arxiv.org/pdf/2402.05331.pdf,https://arxiv.org/abs/2402.05331,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/04-cim-architectures/3D_FeFET_Architectures_2025.pdf,3D_FeFET_Architectures_2025,https://arxiv.org/pdf/2504.09713.pdf,https://arxiv.org/abs/2504.09713,CC BY-NC-SA 4.0 shown on arXiv item page,"attribution, noncommercial only, share alike, license link, indicate changes",keep-with-conditions,ArXiv item page shows CC BY-NC-SA 4.0.
docs/4-research/papers/by-topic/04-cim-architectures/Analog_AI_Accelerators_Survey_arXiv.pdf,Analog_AI_Accelerators_Survey_arXiv,https://arxiv.org/pdf/2012.00052.pdf,https://arxiv.org/abs/2012.00052,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/Analog_AI_Promise_arXiv.pdf,Analog_AI_Promise_arXiv,https://arxiv.org/pdf/2406.12911.pdf,https://arxiv.org/abs/2406.12911,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/Analog_CIM_Energy_Efficiency_arXiv.pdf,Analog_CIM_Energy_Efficiency_arXiv,https://arxiv.org/pdf/2406.08413.pdf,https://arxiv.org/abs/2406.08413,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/Crossbar_Sneak_Path_Analysis_arXiv.pdf,Crossbar_Sneak_Path_Analysis_arXiv,https://arxiv.org/pdf/2204.09543.pdf,https://arxiv.org/abs/2204.09543,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/FTJ_Crossbar_Experiment_arXiv.pdf,FTJ_Crossbar_Experiment_arXiv,https://arxiv.org/pdf/2504.11137.pdf,https://arxiv.org/abs/2504.11137,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/Memristor_CIM_Survey_arXiv.pdf,Memristor_CIM_Survey_arXiv,https://arxiv.org/pdf/2407.13410.pdf,https://arxiv.org/abs/2407.13410,CC BY-NC-ND 4.0 shown on arXiv item page,"attribution, noncommercial only, no derivatives, license link",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/Multi_Level_FeFET_Programming_arXiv.pdf,Multi_Level_FeFET_Programming_arXiv,https://arxiv.org/pdf/2312.15444.pdf,https://arxiv.org/abs/2312.15444,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/Neuromorphic_Hardware_Vision_Systems_arXiv.pdf,Neuromorphic_Hardware_Vision_Systems_arXiv,https://arxiv.org/pdf/2111.11683.pdf,https://arxiv.org/abs/2111.11683,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/adc_precision_cim_accuracy_2024.pdf,adc_precision_cim_accuracy_2024,https://arxiv.org/pdf/2411.11022.pdf,https://arxiv.org/abs/2411.11022,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/04-cim-architectures/charge_cam_oneshot_2025.pdf,charge_cam_oneshot_2025,https://doi.org/10.1038/s41467-025-63190-y,https://www.nature.com/articles/s41467-025-63190-y,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/04-cim-architectures/cim_landscape_overview_2024.pdf,CIM Landscape Research Commercial Overview,https://arxiv.org/pdf/2401.14428.pdf,https://arxiv.org/abs/2401.14428,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/fecap_fefet_cim_elements_2024.pdf,FeCap/FeFET CIM Elements,https://doi.org/10.1038/s41598-024-59298-8,https://www.nature.com/articles/s41598-024-59298-8,Creative Commons Attribution 4.0 International License shown on Nature article page,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/fecim_annealer_2024.pdf,fecim_annealer_2024,https://doi.org/10.1038/s41467-024-46640-x,https://www.nature.com/articles/s41467-024-46640-x,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/04-cim-architectures/ferroelectric_CIM_review_2023.pdf,Ferroelectric CIM Review,https://arxiv.org/pdf/2307.09357.pdf,https://arxiv.org/abs/2307.09357,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/memory_tech_crossbar_dnn_accuracy_2024.pdf,Memory Technologies Synaptic Crossbar Part 2 DNN Accuracy,https://arxiv.org/pdf/2408.05857.pdf,https://arxiv.org/abs/2408.05857,CC BY-NC-ND 4.0 shown on arXiv item page,"attribution, noncommercial only, no derivatives, license link",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/multilevel_fefet_crossbar_2023.pdf,Multi-Level FeFET Crossbar for Neural Networks,https://doi.org/10.1038/s41467-023-42110-y,https://www.nature.com/articles/s41467-023-42110-y,Creative Commons Attribution 4.0 International License shown on Nature article page,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/pruning_adc_efficiency_crossbar_2024.pdf,Pruning for ADC Efficiency Crossbar Accelerators,https://arxiv.org/pdf/2403.13082.pdf,https://arxiv.org/abs/2403.13082,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/04-cim-architectures/simple_packing_algorithm_nvm_2024.pdf,Simple Packing Algorithm for NVM,https://arxiv.org/pdf/2411.04814.pdf,https://arxiv.org/abs/2411.04814,CC0 1.0 Universal shown on arXiv item page,none,keep,ArXiv item page shows CC0 1.0 Universal.
docs/4-research/papers/by-topic/04-cim-architectures/sneak_path_self_rectifying_arrays_2022.pdf,Sneak Path in Self-Rectifying Crossbar Arrays,https://doi.org/10.3389/femat.2022.988785,https://www.frontiersin.org/articles/10.3389/femat.2022.988785,Creative Commons Attribution license shown on Frontiers article page and PDF,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/05-neuromorphic/2D_Ferroelectric_Materials_Review_arXiv.pdf,2D_Ferroelectric_Materials_Review_arXiv,https://arxiv.org/pdf/2107.10928.pdf,https://arxiv.org/abs/2107.10928,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/05-neuromorphic/2d_spintronics_neuromorphic_2024.pdf,2D Spintronics Neuromorphic Computing,https://arxiv.org/pdf/2407.08469.pdf,https://arxiv.org/abs/2407.08469,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/05-neuromorphic/ferroelectric_synaptic_transistors_review_2024.pdf,Ferroelectric Materials Synaptic Transistors Review,https://arxiv.org/pdf/2406.13946.pdf,https://arxiv.org/abs/2406.13946,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/06-photonic-computing/mirage_rns_photonic_training_2024.pdf,Mirage RNS Photonic DNN Training,https://arxiv.org/pdf/2311.17323.pdf,https://arxiv.org/abs/2311.17323,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/06-photonic-computing/optical_computing_dnn_survey_2024.pdf,Optical Computing DNN Acceleration Survey,https://arxiv.org/pdf/2407.21184.pdf,https://arxiv.org/abs/2407.21184,CC BY-NC-ND 4.0 shown on arXiv item page,"attribution, noncommercial only, no derivatives, license link",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/06-photonic-computing/photonic_dnn_architecture_modeling_2024.pdf,Architecture-Level Photonic DNN Modeling,https://arxiv.org/pdf/2405.14806.pdf,https://arxiv.org/abs/2405.14806,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/07-memory-architectures/3d_memory_side_acceleration_2024.pdf,3D Stacked Memory Side Acceleration,https://arxiv.org/pdf/2403.04539.pdf,https://arxiv.org/abs/2403.04539,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/08-industry-reports/Edge_AI_Accelerators_Survey_arXiv.pdf,Edge_AI_Accelerators_Survey_arXiv,https://arxiv.org/pdf/2009.00130.pdf,https://arxiv.org/abs/2009.00130,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/08-industry-reports/Tsinghua_Face_Classification_NatureComms_2025.pdf,Tsinghua_Face_Classification_NatureComms_2025,https://doi.org/10.1038/ncomms15199,https://www.nature.com/articles/ncomms15199,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified Face classification using electronic synapses on article page.
docs/4-research/papers/by-topic/09-reviews-surveys/fecap_memories_review_2025.pdf,fecap_memories_review_2025,https://doi.org/10.1186/s40580-024-00463-0,https://link.springer.com/article/10.1186/s40580-024-00463-0,Springer Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/09-reviews-surveys/fecim_applications_review_2025.pdf,fecim_applications_review_2025,https://doi.org/10.1186/s40580-025-00520-2,https://link.springer.com/article/10.1186/s40580-025-00520-2,Springer Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/09-reviews-surveys/in_memory_computing_dnn_survey_2023.pdf,in_memory_computing_dnn_survey_2023,https://arxiv.org/pdf/2302.06417.pdf,https://arxiv.org/abs/2302.06417,CC BY-NC-SA 4.0 shown on arXiv item page,"attribution, noncommercial only, share alike, license link, indicate changes",keep-with-conditions,ArXiv item page shows CC BY-NC-SA 4.0.
docs/4-research/papers/by-topic/10-cim-compilers-mapping/compass_crossbar_compiler_2025.pdf,compass_crossbar_compiler_2025,https://arxiv.org/pdf/2501.06780.pdf,https://arxiv.org/abs/2501.06780,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/11-reservoir-computing/all_ferroelectric_reservoir_computing_2023.pdf,All-Ferroelectric Implementation of Reservoir Computing,https://doi.org/10.1038/s41467-023-39371-y,https://www.nature.com/articles/s41467-023-39371-y,Creative Commons Attribution 4.0 International License shown on Nature article page,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
docs/4-research/papers/by-topic/11-reservoir-computing/analog_rc_ferroelectric_mpb_transistors_2024.pdf,analog_rc_ferroelectric_mpb_transistors_2024,https://doi.org/10.1038/s41467-024-53321-2,https://www.nature.com/articles/s41467-024-53321-2,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/11-reservoir-computing/reservoir_computing_tunable_2025.pdf,reservoir_computing_tunable_2025,https://doi.org/10.1038/s44335-025-00043-3,https://www.nature.com/articles/s44335-025-00043-3,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/12-spiking-neural-networks/contemporary_spiking_bioinspired_2024.pdf,contemporary_spiking_bioinspired_2024,https://arxiv.org/pdf/2412.17926.pdf,https://arxiv.org/abs/2412.17926,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/12-spiking-neural-networks/low_cost_neuromorphic_learning_engine_2023.pdf,low_cost_neuromorphic_learning_engine_2023,https://doi.org/10.1038/s41598-023-32120-7,https://www.nature.com/articles/s41598-023-32120-7,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/12-spiking-neural-networks/snn_architecture_search_survey_2025.pdf,snn_architecture_search_survey_2025,https://arxiv.org/pdf/2510.14235.pdf,https://arxiv.org/abs/2510.14235,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/13-in-memory-training/fast_robust_analog_inmem_training_2024.pdf,fast_robust_analog_inmem_training_2024,https://doi.org/10.1038/s41467-024-51133-y,https://www.nature.com/articles/s41467-024-51133-y,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/13-in-memory-training/inmemory_differentiator_2025.pdf,inmemory_differentiator_2025,https://doi.org/10.1038/s41467-025-58359-4,https://www.nature.com/articles/s41467-025-58359-4,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/14-transformer-llm-accelerators/analog_digital_hybrid_attention_2024.pdf,analog_digital_hybrid_attention_2024,https://arxiv.org/pdf/2409.04940.pdf,https://arxiv.org/abs/2409.04940,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/14-transformer-llm-accelerators/famous_fpga_attention_accelerator_2024.pdf,famous_fpga_attention_accelerator_2024,https://arxiv.org/pdf/2409.14023.pdf,https://arxiv.org/abs/2409.14023,CC BY-NC-ND 4.0 shown on arXiv item page,"attribution, noncommercial only, no derivatives, license link",keep-with-conditions,ArXiv item page shows CC BY-NC-ND 4.0.
docs/4-research/papers/by-topic/14-transformer-llm-accelerators/hardware_acceleration_llm_survey_2024.pdf,hardware_acceleration_llm_survey_2024,https://arxiv.org/pdf/2409.03384.pdf,https://arxiv.org/abs/2409.03384,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/14-transformer-llm-accelerators/memristor_transformer_self_attention_2024.pdf,memristor_transformer_self_attention_2024,https://doi.org/10.1038/s41598-024-75021-z,https://www.nature.com/articles/s41598-024-75021-z,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/15-3d-stacking-architectures/full_spectrum_3d_ferroelectric_memory_2025.pdf,full_spectrum_3d_ferroelectric_memory_2025,https://arxiv.org/pdf/2504.09713.pdf,https://arxiv.org/abs/2504.09713,CC BY-NC-SA 4.0 shown on arXiv item page,"attribution, noncommercial only, share alike, license link, indicate changes",keep-with-conditions,ArXiv item page shows CC BY-NC-SA 4.0.
docs/4-research/papers/by-topic/15-3d-stacking-architectures/highly_scaled_3d_fefet_array_2023.pdf,highly_scaled_3d_fefet_array_2023,https://doi.org/10.1038/s41467-023-36270-0,https://www.nature.com/articles/s41467-023-36270-0,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/16-photonic-ferroelectric-hybrids/ann_photonic_algorithms_implementation_2024.pdf,ann_photonic_algorithms_implementation_2024,https://doi.org/10.1038/s41467-018-07355-y,https://www.nature.com/articles/s41467-018-07355-y,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/16-photonic-ferroelectric-hybrids/optical_neural_networks_progress_2024.pdf,optical_neural_networks_progress_2024,https://doi.org/10.1038/s41377-024-01590-3,https://www.nature.com/articles/s41377-024-01590-3,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/16-photonic-ferroelectric-hybrids/photonic_neural_networks_review_2023.pdf,photonic_neural_networks_review_2023,https://arxiv.org/pdf/2302.08390.pdf,https://arxiv.org/abs/2302.08390,CC BY 4.0 shown on arXiv item page,"attribution, license link, indicate changes, no extra restrictions",keep,ArXiv item page shows CC BY 4.0.
docs/4-research/papers/by-topic/17-security-cryptography/fefet_puf_charge_domain_computing_2025.pdf,fefet_puf_charge_domain_computing_2025,https://doi.org/10.1038/s41467-024-55380-x,https://www.nature.com/articles/s41467-024-55380-x,Nature article page shows explicit CC BY-NC-ND 4.0,attribution; noncommercial only; no derivatives; license link,keep-with-conditions,Verified CC BY-NC-ND 4.0 on article page.
docs/4-research/papers/by-topic/17-security-cryptography/memristor_puf_lightweight_crypto_2022.pdf,memristor_puf_lightweight_crypto_2022,https://doi.org/10.1038/s41598-022-11240-6,https://www.nature.com/articles/s41598-022-11240-6,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/by-topic/18-ald-process-control/fefet_heterogeneous_codoped_hfo2_2025.pdf,fefet_heterogeneous_codoped_hfo2_2025,https://arxiv.org/pdf/2508.16768.pdf,https://arxiv.org/abs/2508.16768,CC BY-NC-ND 4.0 shown on arXiv item page,"attribution, noncommercial only, no derivatives, license link",keep-with-conditions,ArXiv item page shows CC BY-NC-ND 4.0.
docs/4-research/papers/by-topic/23-cryogenic-operation/fesquid_cryo_cam_2025.pdf,fesquid_cryo_cam_2025,https://doi.org/10.1038/s44335-025-00039-z,https://www.nature.com/articles/s44335-025-00039-z,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
docs/4-research/papers/external-research/urban_mining_fjh_2021.pdf,urban_mining_fjh_2021,https://doi.org/10.1038/s41467-021-26038-9,https://www.nature.com/articles/s41467-021-26038-9,Nature article page shows explicit CC BY 4.0,attribution; license link; indicate changes,keep,Verified CC BY 4.0 on article page.
validation/literature/_incoming/mdpi_ma13132968.pdf,A Comprehensive Study on the Effect of TiN Top and Bottom Electrodes on Atomic Layer Deposited Ferroelectric Hf0.5Zr0.5O2 Thin Films,https://doi.org/10.3390/ma13132968,https://www.mdpi.com/1996-1944/13/13/2968,CC BY 4.0,"attribution, retain license notice/link, indicate changes",keep-with-conditions,Explicit redistribution evidence is required before changing this row to keep.
