category,doi,year,venue,title,evidence_level,support_from_abstract_or_metadata
FeFET/FeTFT CIM,10.1109/tc.2021.3136576,2021,IEEE Transactions on Computers,FeFET Multi-Bit Content-Addressable Memories for In-Memory Nearest Neighbor Search,journal/proceedings metadata,"Nearest neighbor (NN) search computations are at the core of many applications such as few-shot learning, classification, and hyperdimensional computing. As such, efficient hardware support for NN search is highly desired. In-memory computing using emerging devices offers attractive solutions for NN search. Solutions based on ternary content-addressable memories (TCAMs) offer high energy and latency improvements for NN search at the expense of ac"
FeFET/FeTFT CIM,10.3390/electronics12102297,2023,Electronics,Recent Research for HZO-Based Ferroelectric Memory towards In-Memory Computing Applications,journal/proceedings metadata,"The AI and IoT era requires software and hardware capable of efficiently processing massive amounts data quickly and at a low cost. However, there are bottlenecks in existing Von Neumann structures, including the difference in the operating speed of current-generation DRAM and Flash memory systems, the large voltage required to erase the charge of nonvolatile memory cells, and the limitations of scaled-down systems. Ferroelectric materials are on"
FeFET/FeTFT CIM,10.1038/s41598-024-59298-8,2024,Scientific Reports,Ferroelectric capacitors and field-effect transistors as in-memory computing elements for machine learning workloads,journal/proceedings metadata,"Abstract This study discusses the feasibility of Ferroelectric Capacitors (FeCaps) and Ferroelectric Field-Effect Transistors (FeFETs) as In-Memory Computing (IMC) elements to accelerate machine learning (ML) workloads. We conducted an exploration of device fabrication and proposed system-algorithm co-design to boost performance. A novel FeCap device, incorporating an interfacial layer (IL) and $$\text {Hf}_{0.5}\text {Zr}_{0.5}\text {O}_2$$ <mml"
FeFET/FeTFT CIM,10.1126/sciadv.abm8537,2022,Science Advances,CMOS-compatible compute-in-memory accelerators based on integrated ferroelectric synaptic arrays for convolution neural networks,journal/proceedings metadata,"Convolutional neural networks (CNNs) have gained much attention because they can provide superior complex image recognition through convolution operations. Convolution processes require repeated multiplication and accumulation operations, which are difficult tasks for conventional computing systems. Compute-in-memory (CIM) that uses parallel data processing is an ideal device structure for convolution operations. CIM based on two-terminal synapti"
FeFET/FeTFT CIM,10.1038/s41467-024-46640-x,2024,Nature Communications,Ferroelectric compute-in-memory annealer for combinatorial optimization problems,journal/proceedings metadata,"Computationally hard combinatorial optimization problems (COPs) are ubiquitous in many applications. Various digital annealers, dynamical Ising machines, and quantum/photonic systems have been developed for solving COPs, but they still suffer from the memory access issue, scalability, restricted applicability to certain types of COPs, and VLSI-incompatibility, respectively. Here we report a ferroelectric field effect transistor (FeFET) based comp"
FeFET/FeTFT CIM,10.1038/s41598-022-23116-w,2022,Scientific Reports,Achieving software-equivalent accuracy for hyperdimensional computing with ferroelectric-based in-memory computing,journal/proceedings metadata,"Hyperdimensional computing (HDC) is a brain-inspired computational framework that relies on long hypervectors (HVs) for learning. In HDC, computational operations consist of simple manipulations of hypervectors and can be incredibly memory-intensive. In-memory computing (IMC) can greatly improve the efficiency of HDC by reducing data movement in the system. Most existing IMC implementations of HDC are limited to binary precision which inhibits th"
CAM/search,10.1038/s41928-019-0321-3,2019,Nature Electronics,Ferroelectric ternary content-addressable memory for one-shot learning,journal/proceedings metadata,[OpenAlex had no abstract; title/metadata only]
Other,10.1038/s41928-020-0411-2,2020,Nature Electronics,In-memory computing with ferroelectrics,journal/proceedings metadata,[OpenAlex had no abstract; title/metadata only]
FTJ/diode,10.1021/acs.nanolett.2c03169,2022,Nano Letters,Reconfigurable Compute-In-Memory on Field-Programmable Ferroelectric Diodes,journal/proceedings metadata,"The deluge of sensors and data generating devices has driven a paradigm shift in modern computing from arithmetic-logic centric to data-centric processing. Data-centric processing require innovations at the device level to enable novel compute-in-memory (CIM) operations. A key challenge in the construction of CIM architectures is the conflicting trade-off between the performance and their flexibility for various essential data operations. Here, w"
FTJ/diode,10.1038/s41928-020-0405-0,2020,Nature Electronics,Low-power linear computation using nonlinear ferroelectric tunnel junction memristors,journal/proceedings metadata,[OpenAlex had no abstract; title/metadata only]
FTJ/diode,10.1038/s41467-022-28303-x,2022,Nature Communications,High-precision and linear weight updates by subnanosecond pulses in ferroelectric tunnel junction for neuro-inspired computing,journal/proceedings metadata,"Abstract The rapid development of neuro-inspired computing demands synaptic devices with ultrafast speed, low power consumption, and multiple non-volatile states, among other features. Here, a high-performance synaptic device is designed and established based on a Ag/PbZr 0.52 Ti 0.48 O 3 (PZT, (111)-oriented)/Nb:SrTiO 3 ferroelectric tunnel junction (FTJ). The advantages of (111)-oriented PZT (~1.2 nm) include its multiple ferroelectric switchin"
FTJ/diode,10.1002/aisy.202300554,2023,Advanced Intelligent Systems,Ferroelectric Tunnel Junction Memristors for In‐Memory Computing Accelerators,journal/proceedings metadata,"Neuromorphic computing has seen great interest as leaps in artificial intelligence (AI) applications have exposed limitations due to heavy memory access, with the von Neumann computing architecture. The parallel in‐memory computing provided by neuromorphic computing has the potential to significantly improve latency and power consumption. Key to analog neuromorphic computing hardware are memristors, providing non‐volatile multistate conductance l"
FeFET/FeTFT CIM,10.1002/aelm.202200951,2022,Advanced Electronic Materials,Ferroelectric Hafnium Oxide Films for In‐Memory Computing Applications,journal/proceedings metadata,"Abstract Traditional von Neumann architecture is facing severe challenges due to separated physical structure of memory and processing units, which inspires the development of in‐memory computing electronics. Intriguingly, as a kind of complementary metal‐oxide‐semiconducor compatible ferroelectric material, HfO 2 is widely studied based on first‐principles calculation in the semiconductor field, showing great potential in constructing emerging e"
review/reliability,10.1002/adma.202400332,2024,Advanced Materials,Emerging 2D Ferroelectric Devices for In‐Sensor and In‐Memory Computing,journal/proceedings metadata,"The quantity of sensor nodes within current computing systems is rapidly increasing in tandem with the sensing data. The presence of a bottleneck in data transmission between the sensors, computing, and memory units obstructs the system's efficiency and speed. To minimize the latency of data transmission between units, novel in-memory and in-sensor computing architectures are proposed as alternatives to the conventional von Neumann architecture, "
FeFET/FeTFT CIM,10.1021/acsnano.3c01198,2023,ACS Nano,Van der Waals Ferroelectric Semiconductor Field Effect Transistor for In-Memory Computing,journal/proceedings metadata,"In-memory computing is a highly efficient approach for breaking the bottleneck of von Neumann architectures, i.e., reducing redundant latency and energy consumption during the data transfer between the physically separated memory and processing units. Herein we have designed a in-memory computing device, a van der Waals ferroelectric semiconductor (InSe) based metal-oxide-ferroelectric semiconductor field-effect transistor (MOfeS-FET). This MOfeS"
Other,10.1038/s41467-020-20257-2,2021,Nature Communications,Two-dimensional ferroelectric channel transistors integrating ultra-fast memory and neural computing,journal/proceedings metadata,"Abstract With the advent of the big data era, applications are more data-centric and energy efficiency issues caused by frequent data interactions, due to the physical separation of memory and computing, will become increasingly severe. Emerging technologies have been proposed to perform analog computing with memory to address the dilemma. Ferroelectric memory has become a promising technology due to field-driven fast switching and non-destructiv"
FeFET/FeTFT CIM,10.1038/s44172-022-00021-8,2022,Communications Engineering,Reservoir computing on a silicon platform with a ferroelectric field-effect transistor,journal/proceedings metadata,"Abstract Reservoir computing offers efficient processing of time-series data with exceptionally low training cost for real-time computing in edge devices where energy and hardware resources are limited. Here, we report reservoir computing hardware based on a ferroelectric field-effect transistor (FeFET) consisting of silicon and ferroelectric hafnium zirconium oxide. The rich dynamics originating from the ferroelectric polarization dynamics and p"
FTJ/diode,10.1038/s41467-023-39371-y,2023,Nature Communications,All-ferroelectric implementation of reservoir computing,journal/proceedings metadata,"Abstract Reservoir computing (RC) offers efficient temporal information processing with low training cost. All-ferroelectric implementation of RC is appealing because it can fully exploit the merits of ferroelectric memristors (e.g., good controllability); however, this has been undemonstrated due to the challenge of developing ferroelectric memristors with distinctly different switching characteristics specific to the reservoir and readout netwo"
FTJ/diode,10.1109/iedm19573.2019.8993565,2019,,Sub-nA Low-Current HZO Ferroelectric Tunnel Junction for High-Performance and Accurate Deep Learning Acceleration,conference,"This paper presents a unique opportunity of HZO ferroelectric tunnel junction (FTJ) for in-memory computing. The device operates at an extremely low sub-nA current while simultaneously achieving 50-ns fast switching, > 10 <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">7</sup> cycling endurance, > 10-yr retention, minimal variability, and analog state modulation. We analyze an FTJ-based deep binary n"
FeFET/FeTFT CIM,10.1109/iedm19573.2019.8993491,2019,,DNN+NeuroSim: An End-to-End Benchmarking Framework for Compute-in-Memory Accelerators with Versatile Device Technologies,conference,"DNN+NeuroSim is an integrated framework to benchmark compute-in-memory (CIM) accelerators for deep neural networks, with hierarchical design options from device-level, to circuit-level and up to algorithm-level. A python wrapper is developed to interface NeuroSim with popular machine learning platforms such as Pytorch and Tensorflow. The framework supports automatic algorithm to hardware mapping, and evaluates both chip-level performance and infe"
